problem_id,generated_model_id,model_label,full_strategy_ids,run1_strategy_ids,run2_strategy_ids,full_count,run1_count,run2_count,union_full_run1_strategy_ids,union_full_run1_count,union_all_three_strategy_ids,union_all_three_count,new_in_run1_vs_full,new_in_run1_vs_full_count,new_in_run2_vs_full,new_in_run2_vs_full_count,new_in_run2_vs_full_run1_union,new_in_run2_vs_full_run1_union_count,only_in_full_not_reruns,only_in_full_not_reruns_count
2021AMC12B21,deepseek-reasoner,DeepSeek,s1|s2,s1|s4,s1|s4,2,2,2,s1|s2|s4,3,s1|s2|s4,3,s4,1,s4,1,,0,s2,1
2021AMC12B21,gemini-3.1-pro-preview,Gemini,n1|s1|s4,s1|s4,n1|s1|s2|s4,3,2,4,n1|s1|s4,3,n1|s1|s2|s4,4,,0,s2,1,s2,1,,0
2021AMC12B21,gpt-5.4,GPT,s1|s2|s4,n1|s1|s4,s1|s4,3,3,2,n1|s1|s2|s4,4,n1|s1|s2|s4,4,n1,1,,0,,0,s2,1
2022AMC10B20,claude-opus-4-6,Claude,n1,n1,n1,1,1,1,n1,1,n1,1,,0,,0,,0,,0
2022AMC10B20,deepseek-reasoner,DeepSeek,n1,n1,n1|s1,1,1,2,n1,1,n1|s1,2,,0,s1,1,s1,1,,0
2022AMC10B20,gemini-3.1-pro-preview,Gemini,n1|s1,n1|s1,n1|s1,2,2,2,n1|s1,2,n1|s1,2,,0,,0,,0,,0
2022AMC10B20,gpt-5.4,GPT,n1,n1,n1,1,1,1,n1,1,n1,1,,0,,0,,0,,0
2023AMC12A21,claude-opus-4-6,Claude,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2023AMC12A21,deepseek-reasoner,DeepSeek,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2023AMC12A21,gemini-3.1-pro-preview,Gemini,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2023AMC12A21,gpt-5.4,GPT,s1|s2,s1|s2,s1|s2,2,2,2,s1|s2,2,s1|s2,2,,0,,0,,0,,0
2023AMC12A24,claude-opus-4-6,Claude,s1,s1,s1,1,1,1,s1,1,s1,1,,0,,0,,0,,0
2023AMC12A24,deepseek-reasoner,DeepSeek,s1|s2,s1,s1,2,1,1,s1|s2,2,s1|s2,2,,0,,0,,0,s2,1
2023AMC12A24,gemini-3.1-pro-preview,Gemini,n1|n2|s1,n1|n2|s1,n1|s1,3,3,2,n1|n2|s1,3,n1|n2|s1,3,,0,,0,,0,,0
2023AMC12A24,gpt-5.4,GPT,s1,s1|s2,s1,1,2,1,s1|s2,2,s1|s2,2,s2,1,,0,,0,,0
2023AMC12B25,claude-opus-4-6,Claude,s1,s1,s1,1,1,1,s1,1,s1,1,,0,,0,,0,,0
2023AMC12B25,deepseek-reasoner,DeepSeek,s1,s1,s1,1,1,1,s1,1,s1,1,,0,,0,,0,,0
2023AMC12B25,gemini-3.1-pro-preview,Gemini,s1,s1,s1,1,1,1,s1,1,s1,1,,0,,0,,0,,0
2023AMC12B25,gpt-5.4,GPT,s1,s1,s1,1,1,1,s1,1,s1,1,,0,,0,,0,,0
2024AIMEI11,claude-opus-4-6,Claude,,,,0,0,0,,0,,0,,0,,0,,0,,0
2024AIMEI11,deepseek-reasoner,DeepSeek,n1,,n1,1,0,1,n1,1,n1,1,,0,,0,,0,,0
2024AIMEI11,gemini-3.1-pro-preview,Gemini,n1|n2,n1,n1,2,1,1,n1|n2,2,n1|n2,2,,0,,0,,0,n2,1
2024AIMEI11,gpt-5.4,GPT,n1,n1,n1,1,1,1,n1,1,n1,1,,0,,0,,0,,0
2024AIMEI13,claude-opus-4-6,Claude,s2,s2,s1|s2,1,1,2,s2,1,s1|s2,2,,0,s1,1,s1,1,,0
2024AIMEI13,deepseek-reasoner,DeepSeek,n1|s2,s1|s2|s3,n1|s2|s3,2,3,3,n1|s1|s2|s3,4,n1|s1|s2|s3,4,s1|s3,2,s3,1,,0,,0
2024AIMEI13,gemini-3.1-pro-preview,Gemini,s1|s2|s3,s1|s3,s3,3,2,1,s1|s2|s3,3,s1|s2|s3,3,,0,,0,,0,s2,1
2024AIMEI13,gpt-5.4,GPT,s2|s3,s2|s3,s1|s2|s3,2,2,3,s2|s3,2,s1|s2|s3,3,,0,s1,1,s1,1,,0
2025AMC10A5,claude-opus-4-6,Claude,s1|s2|s4,s1|s2,s1|s2,3,2,2,s1|s2|s4,3,s1|s2|s4,3,,0,,0,,0,s4,1
2025AMC10A5,deepseek-reasoner,DeepSeek,s1|s4,s1|s2,s1|s2|s3,2,2,3,s1|s2|s4,3,s1|s2|s3|s4,4,s2,1,s2|s3,2,s3,1,s4,1
2025AMC10A5,gemini-3.1-pro-preview,Gemini,s1|s3,s1|s2,s1|s4,2,2,2,s1|s2|s3,3,s1|s2|s3|s4,4,s2,1,s4,1,s4,1,s3,1
2025AMC10A5,gpt-5.4,GPT,s1|s2|s3,s1|s2|s4,s1|s2|s4,3,3,3,s1|s2|s3|s4,4,s1|s2|s3|s4,4,s4,1,s4,1,,0,s3,1
